(14, 457)
(22, 442)
(30, 426)
(42, 410)
(55, 392)
(67, 375)
(78, 357)
(87, 337)
(93, 317)
(98, 303)
(100, 287)
(103, 268)
(107, 252)
(114, 236)
(124, 221)
(138, 208)
(154, 198)
(171, 189)
(188, 184)
(205, 179)
(220, 177)
(236, 177)
(251, 179)
(265, 185)
(281, 189)
(295, 195)
(311, 201)
(342, 210)
(359, 211)
(376, 208)
(390, 202)
(403, 195)
(414, 184)
(424, 170)
(427, 153)
(427, 136)
(423, 120)
(412, 103)
(397, 93)
(380, 88)
(364, 89)
(352, 99)
(342, 115)
(336, 134)
(334, 157)
(337, 183)
(341, 243)
(341, 271)
(338, 298)
(334, 312)
(331, 329)
(328, 343)
(326, 356)
(326, 384)
(328, 399)
(333, 428)
(335, 442)
(344, 451)
