(302, 501)
(298, 494)
(294, 488)
(290, 482)
(285, 476)
(280, 470)
(276, 464)
(272, 458)
(268, 452)
(264, 446)
(260, 440)
(256, 434)
(252, 428)
(248, 422)
(241, 410)
(238, 404)
(235, 398)
(231, 392)
(229, 386)
(223, 374)
(219, 362)
(217, 356)
(214, 350)
(213, 344)
(212, 324)
(204, 297)
(202, 290)
(202, 284)
(202, 278)
(202, 272)
(202, 260)
(202, 254)
(202, 248)
(204, 242)
(204, 236)
(205, 230)
(206, 224)
(207, 218)
(211, 206)
(213, 200)
(217, 194)
(219, 188)
(223, 182)
(226, 176)
(230, 170)
(236, 164)
(242, 158)
(247, 153)
(256, 147)
(261, 145)
(272, 139)
(278, 136)
(284, 134)
(290, 132)
(302, 130)
(308, 129)
(314, 129)
(320, 129)
(326, 129)
(332, 130)
(344, 133)
(350, 135)
(362, 141)
(368, 144)
(372, 147)
(380, 153)
(385, 158)
(404, 174)
(411, 205)
(415, 212)
(418, 218)
(422, 224)
(428, 231)
(433, 237)
(439, 242)
(445, 246)
(452, 249)
(458, 253)
(464, 255)
(470, 258)
(476, 259)
(482, 260)
(488, 260)
(494, 260)
(506, 260)
(512, 260)
(518, 260)
(530, 259)
(536, 258)
(555, 253)
